param_type,value,mae_mean,mae_std
learning_rate,0.01,0.023996860059394245,0.0010386280040473143
learning_rate,0.02,0.02364098775498424,0.0009672295445180991
learning_rate,0.04,0.02332237717056658,0.0009668126255674166
learning_rate,0.06,0.02315930849041581,0.0008993771792753918
learning_rate,0.08,0.02308908282030551,0.0009464533536362281
learning_rate,0.1,0.023041160523540504,0.0008780764533497967
learning_rate,0.15,0.022927443898113627,0.000864918306779203
learning_rate,0.2,0.023004748802729697,0.0008189890388935611
max_depth,3.0,0.023727923040248452,0.0010552233022734223
max_depth,4.0,0.02348544327848469,0.0009839697813677688
max_depth,5.0,0.023258733177399755,0.0009368885266522244
max_depth,6.0,0.02315930849041581,0.0008993771792753918
max_depth,7.0,0.023141998104187378,0.0009207298731414547
max_depth,8.0,0.023189557163590422,0.0008995011798678639
max_depth,10.0,0.023125259523199732,0.000892294287454736
max_depth,15.0,0.023117154146779634,0.00087606826161754
