vin,MAE_Base,MAE_Final,rank,Improvement
vin75,0.00730130829351536,0.012420938720136523,0,-0.005119630426621163
vin71,0.009487247502074667,0.009829357684647298,1,-0.00034211018257263026
vin85,0.0099808246978022,0.009218215219780205,2,0.0007626094780219961
vin228,0.01064412402645112,0.011938758486407037,3,-0.0012946344599559165
vin122,0.010792503308383224,0.007207161541916165,4,0.003585341766467059
vin62,0.01107638939469319,0.010671987678275275,5,0.000404401716417915
vin82,0.011593233340336104,0.008224330315126076,6,0.003368903025210028
vin140,0.012230139771386421,0.009990704292035388,7,0.0022394354793510325
vin265,0.013235103132108466,0.01021406759405072,8,0.003021035538057746
vin249,0.013492264435146433,0.01341295298465826,9,7.931145048817312e-05
vin213,0.013883875700636957,0.01762458456475586,10,-0.003740708864118902
vin97,0.014071297482161063,0.013176670417940883,11,0.0008946270642201798
vin96,0.014416434542124542,0.012111373754578757,12,0.002305060787545785
vin250,0.014574481869300908,0.008731108814589661,13,0.005843373054711247
vin157,0.015400619224299056,0.015533970495327088,14,-0.00013335127102803192
vin116,0.01587415222045364,0.014509610700358135,15,0.0013645415200955052
vin190,0.01588535165144596,0.012668437656012176,16,0.0032169139954337823
vin73,0.01595785081632655,0.010673428840445283,17,0.005284421975881267
vin171,0.015962065647798743,0.022303095320754723,18,-0.006341029672955981
vin160,0.017573059593679462,0.011292485846501134,19,0.006280573747178327
vin278,0.017584331025641026,0.014519725069033531,20,0.0030646059566074944
vin154,0.018279194813186822,0.011538412725274724,21,0.0067407820879120985
vin6,0.0183320014890614,0.00792413196189132,22,0.01040786952717008
vin58,0.01862618870848706,0.015497126642066388,23,0.003129062066420671
vin11,0.0192282959951456,0.01962264351941744,24,-0.00039434752427184097
vin233,0.01940710519104087,0.012945593774703574,25,0.006461511416337298
vin39,0.01943557230185497,0.022065039755480603,26,-0.0026294674536256335
vin101,0.019636978480096493,0.01743644328106151,27,0.002200535199034983
vin15,0.020110898429906553,0.01787101463551403,28,0.002239883794392522
vin36,0.02036697701121797,0.020358212940705143,29,8.764070512826128e-06
vin121,0.021019238682588565,0.013111251070878259,30,0.007907987611710306
vin292,0.02112426945454549,0.011549251582887733,31,0.009575017871657756
vin90,0.02127485174637679,0.02280297157971012,32,-0.0015281198333333273
vin271,0.021452855723577236,0.011973050130081302,33,0.009479805593495934
vin188,0.022538388468468465,0.014141304074074051,34,0.008397084394394414
vin212,0.022594400536149518,0.02029465631194155,35,0.0022997442242079676
vin19,0.0229629669544741,0.015243221334379905,36,0.007719745620094193
vin230,0.024930935336076793,0.011006617462277064,37,0.013924317873799729
vin93,0.025737021416666703,0.019316528666666673,38,0.006420492750000031
vin40,0.026031169067431848,0.022118758995695847,39,0.003912410071736001
vin167,0.026485225377720883,0.01383733239436621,40,0.012647892983354673
vin43,0.026753634256837102,0.016800466111771703,41,0.009953168145065399
vin84,0.02685030593984962,0.015476544829381142,42,0.011373761110468478
vin76,0.027936036418663296,0.024688057931904154,43,0.003247978486759142
vin186,0.028239490788990827,0.018299413981651386,44,0.009940076807339441
vin280,0.028807641683168354,0.012505216138613908,45,0.016302425544554446
vin120,0.029018801270270244,0.02081604236936935,46,0.008202758900900893
vin169,0.03056429906946261,0.025331293774574007,47,0.005233005294888602
vin144,0.03145466014975044,0.028917788427620668,48,0.0025368717221297687
vin57,0.03215101767203515,0.00866339676427526,49,0.02348762090775989
vin273,0.03239028161616161,0.026294618989898978,50,0.00609566262626263
vin1,0.033583352748782186,0.020962485434933883,51,0.012620867313848302
vin298,0.03456606979966612,0.027455439040066792,52,0.007110630759599331
vin145,0.03499864083885207,0.025211467671081643,53,0.009787173167770426
vin4,0.0363081973300371,0.015184423671199031,54,0.021123773658838073
vin133,0.03771451249999997,0.03112185874999997,55,0.00659265375
vin64,0.03954527822413789,0.03978720825862066,56,-0.00024193003448276518
vin182,0.04092002469813395,0.01990131397365536,57,0.02101871072447859
vin100,0.04130530009560227,0.030028672705544907,58,0.011276627390057366
vin125,0.04612874342253523,0.029141475084507068,59,0.01698726833802816
